id,time,lat,lon,mag,group
usp000e5yg,42:31.1,15.27995481,-45.73694273,5.6,1
usp000e5yp,26:35.0,15.28150062,-45.66650852,5.7,1
usp000f74q,07:46.2,15.27189986,-45.59555478,5.4,1
usb000ji6r,01:36.4,15.24719763,-45.09341489,6,1
usb000pwdc,21:09.5,15.18025993,-45.26160963,5.451,1
usb000spvk,56:56.0,15.37927403,-45.32176505,5.613,1
us20003lc6,59:42.6,15.28659925,-45.79566779,6,1
us1000htk7,04:23.8,15.23064242,-45.26948021,5.37,1
us2000izi5,45:30.8,15.27144307,-46.17085831,5.37,1
us1000jjfx,13:03.5,15.26751826,-44.91248382,5.37,1
us70003evi,52:22.6,15.31977153,-46.28950533,5.4,1
us600040yl,44:54.0,15.27386873,-46.42724603,5.2,1
us6000bfwf,52:35.5,15.26882061,-45.64473304,5.2,1
