id,time,lat,lon,mag,group
usp0008dp6,1998-01-03 06:10:08.380000,-35.4434459833,-15.6249275852,6.3,1
usp0008kxg,1998-04-25 06:07:23.440000,-35.6078905235,-16.7228257534,6.3,1
usp000azeg,2002-03-02 03:14:54.670000,-35.6084057906,-16.9803961243,5.9,1
usp000b9ag,2002-08-04 15:16:26.990000,-35.4657557425,-15.792528168,6.0,1
us20002qn7,2015-06-17 12:51:32.790000,-35.5211819814,-16.2486659754,7.0,1
us7000bfgl,2020-08-31 21:18:02.693000,-35.4279868279,-15.5660634493,5.9,1
usp000drj1,2005-05-25 11:02:22.570000,-34.6914688901,-14.9092475755,5.2,1
usp000ehy2,2006-05-25 17:43:14.390000,-34.6982905619,-14.8417936858,5.0,1
usp000ggg5,2008-09-05 20:41:35.630000,-34.6825233733,-14.8395169529,5.1,1
usp000hcuj,2010-05-16 19:06:37.060000,-34.7111564906,-14.9232969505,5.3,1
usp000j26f,2011-05-25 12:28:45.670000,-34.7419229897,-15.0915356286,5.2,1
