id,time,lat,lon,mag,group
usp0006scc,1995-02-04 17:25:01.660000,-13.8165681018,66.0456023409,5.5,1
usp0008804,1997-09-25 14:20:48.930000,-13.762400243,66.1510996903,6.0,1
usp000a7xe,2001-01-18 07:23:37.180000,-13.8402119862,66.0288844414,5.5,1
usp000ah2e,2001-06-22 13:05:10.430000,-13.7890863303,66.1303739885,5.0,1
usp000de25,2005-01-23 03:32:27.070000,-13.7969150955,66.0864134237,5.5,1
usp000drn0,2005-05-26 22:34:32.380000,-13.7486495759,66.1337879763,5.2,1
usp000fp77,2007-09-27 10:18:28.800000,-13.8447650167,65.9962175471,5.0,1
usp000gshh,2009-01-13 01:04:42.640000,-13.7433008471,66.182338073,6.0,1
usp000gzh5,2009-07-21 19:55:45.020000,-13.8238901604,66.0385561666,5.2,1
usp000hk37,2010-09-03 04:19:13.680000,-13.7872680242,66.1097191537,5.7,1
usp000hkkd,2010-09-11 20:22:43.820000,-13.8249538124,66.0240471059,5.0,1
usp000jxu7,2013-01-05 04:00:44.670000,-13.7306772397,66.1938298351,5.532,1
usc000rkvf,2014-06-24 02:40:40.870000,-13.7502975332,66.1573620666,5.451,1
usc000rkxq,2014-06-24 05:55:10.580000,-13.8402126201,66.0288842516,5.451,1
us70008iqd,2020-03-30 17:54:40.558000,-13.762402071,66.1510975994,5.6,1
