id,time,lat,lon,mag,group
usp0007crd,1996-02-11 13:03:53.380000,-17.6086840672,-13.1027351322,5.624,1
usp000a75r,2001-01-05 11:40:09.560000,-17.6412095246,-13.3566125677,5.3,1
usp000acwg,2001-04-09 19:56:01.070000,-16.3439573374,-13.4983815462,5.1,1
usp000ah0f,2001-06-21 11:02:03.800000,-16.3566715119,-13.4994225542,5.2,1
usp000bh3h,2002-11-08 18:45:14.960000,-17.5300596183,-12.9406110879,5.4,1
usp000ekuj,2006-06-20 00:42:23.880000,-17.4575250277,-13.7208305392,5.0,1
usp000epbj,2006-07-22 19:47:42.550000,-17.5504982632,-13.0007550381,5.3,1
gcmtc200804162028a,2008-04-16 20:28:48,-17.5315260176,-12.9584561667,5.0,1
usp000g9gr,2008-06-13 20:06:46.460000,-17.6239118959,-13.3662130207,5.3,1
usp000h4z7,2009-12-12 03:34:40.340000,-17.5913933026,-13.1636228447,5.4,1
usp000h9ua,2010-03-22 04:36:07.190000,-17.5409669319,-12.966580148,5.3,1
usp000hq9n,2010-11-29 01:37:12.690000,-17.5811708923,-13.4522263787,5.0,1
usp000jf8t,2012-02-23 05:08:12.790000,-17.565633775,-13.0225766688,5.5,1
us20008hcn,2017-01-19 16:53:16.430000,-17.6293922683,-13.3689756446,5.37,1
us20008iu2,2017-02-10 02:58:55.360000,-17.6720747871,-12.7719326455,5.613,1
us20008k4y,2017-02-16 05:38:34.620000,-17.5499507957,-13.4494316311,5.37,1
us2000jlsv,2019-02-22 21:15:58.190000,-17.6239643229,-13.3640704636,5.4,1
us6000bfxb,2020-08-17 11:45:38.732000,-17.54761672,-12.9754017339,5.4,1
usp000ht8d,2011-01-17 00:08:35.610000,-20.872468188,-11.4922856608,5.0,1
usp000ht8f,2011-01-17 01:35:31.770000,-20.8411924424,-11.5029978321,5.4,1
us200064fn,2016-06-14 22:42:17.410000,-20.6284103962,-11.5756161679,5.37,1
usp0008ge8,1998-02-22 16:07:43.750000,-22.8005745,-13.0582271523,5.1,1
usp0009jsy,1999-12-12 17:28:07.630000,-22.4843802876,-12.7345649181,5.4,1
usp000c8e0,2003-09-23 16:10:22.550000,-22.9301131151,-13.5622959905,5.3,1
usp000ct9u,2004-04-24 11:45:42.470000,-22.22124876,-12.0378826429,5.1,1
usp000ghn3,2008-09-24 17:12:15.780000,-22.7562019489,-12.8436894414,5.3,1
usp000gztd,2009-07-30 08:34:42.800000,-22.9202252157,-13.5482465238,5.0,1
usp000jaus,2011-11-14 01:03:19.830000,-22.4502117369,-12.7456818144,5.0,1
usb000r55i,2014-05-27 10:59:10.960000,-22.9263931986,-13.534766472,5.451,1
usb000slbg,2014-10-12 17:07:47.860000,-22.3552162306,-12.1361129321,5.613,1
usc000trt2,2015-02-20 09:08:15.110000,-22.4825588867,-13.2785206442,5.532,1
us10007r9m,2017-01-05 03:23:53.860000,-22.4797697033,-12.7226448939,5.613,1
us10008d65,2017-03-29 22:56:48.210000,-22.4532614373,-12.6963113287,5.451,1
us6000b7wu,2020-08-01 09:17:17.522000,-22.9204515702,-13.55756354,5.5,1
us7000ckh9,2020-11-27 21:00:55.451000,-22.456997762,-12.7237999612,5.1,1
usp0006heg,1994-08-24 15:17:40.370000,-25.5855174006,-14.0884740824,5.3,1
usp0006hst,1994-09-01 11:28:36.020000,-25.5573864156,-14.0818269582,5.2,1
usp000730e,1995-09-06 19:08:27.370000,-25.6490738399,-13.801572827,5.3,1
usp0007t0f,1996-11-14 10:42:57.010000,-25.6269860978,-13.9367437339,5.5,1
usp00096x3,1999-04-26 12:10:11.950000,-25.6616251815,-13.8187194975,5.3,1
usp000d08y,2004-07-16 07:17:57.240000,-25.6476423969,-13.8600061611,5.4,1
usp000d2pj,2004-08-23 00:57:14.010000,-24.942593356,-13.7903712912,5.5,1
usp000gy34,2009-06-11 08:55:03.600000,-24.9330945232,-13.7634106442,5.3,1
usp000h1xp,2009-09-28 12:13:17.460000,-25.6354242889,-13.8142554559,5.4,1
usp000jpu8,2012-08-03 13:01:08.240000,-25.6174350013,-13.9563993981,5.451,1
us20004zj3,2016-02-11 17:00:32.780000,-25.6178351377,-13.9282620819,5.532,1
us2000a6ul,2017-08-10 09:51:51.020000,-24.930056744,-13.7788164264,5.5,1
us2000a8vq,2017-08-16 19:46:59.860000,-24.9338552765,-13.6416777446,5.532,1
us2000bvry,2017-11-29 03:36:14.970000,-25.643202882,-13.8642960439,5.5,1
usp0006heg,1994-08-24 15:17:40.370000,-24.8763702515,-13.3930695287,5.3,1
usp0006hst,1994-09-01 11:28:36.020000,-24.8491171416,-13.3867275574,5.2,1
usp000d2pj,2004-08-23 00:57:14.010000,-24.7786131634,-13.3926034138,5.5,1
usp000dask,2004-12-15 19:35:30.820000,-24.6604532985,-13.206303691,5.1,1
usp000en08,2006-07-06 15:11:25.190000,-24.8692646531,-13.2823729599,5.1,1
usp000fyak,2008-02-06 16:10:34.290000,-24.800743164,-13.2756889227,5.1,1
usp000gy34,2009-06-11 08:55:03.600000,-24.7734643678,-13.3643684456,5.3,1
us2000a6ul,2017-08-10 09:51:51.020000,-24.7707414305,-13.377301828,5.5,1
us2000a8vq,2017-08-16 19:46:59.860000,-24.7743329783,-13.2597100373,5.532,1
us2000e23a,2018-04-18 12:50:09.140000,-24.8006125834,-13.2874834266,5.451,1
usp000gx0y,2009-05-11 14:32:30.370000,-29.933863942,-13.7034980527,5.2,1
us1000cflk,2018-02-04 09:06:50.670000,-29.5523083258,-13.637401156,5.37,1
usp0009jwy,1999-12-16 10:36:17.630000,-29.5488283738,-13.0624584603,5.7,1
usp000d68v,2004-10-12 14:59:10.250000,-28.9225198111,-12.5461446942,5.2,1
usp000gh87,2008-09-17 21:03:40.050000,-29.0622650012,-13.0204161348,5.0,1
usp000gtgd,2009-02-06 03:13:25.250000,-29.0561862865,-13.0235698495,5.2,1
usp000gukw,2009-03-04 05:23:15.750000,-29.2696749532,-13.4828518344,5.0,1
usp000hg6s,2010-07-20 17:19:50.290000,-29.5762068983,-13.0616102764,5.8,1
usp000hqbp,2010-11-30 14:32:30.580000,-28.928323933,-12.4942459436,5.1,1
usc000gteu,2013-05-10 19:56:04.150000,-29.5465452178,-13.0585016233,5.7,1
usb000psb6,2014-04-21 03:21:23,-29.042152798,-12.9950940511,5.37,1
us1000cflk,2018-02-04 09:06:50.670000,-29.2720709719,-13.4862069389,5.37,1
us600068n2,2019-11-07 13:07:32.520000,-29.0113189054,-12.8597182804,5.1,1
usp000fnq7,2007-09-19 17:16:46.270000,-32.562029536,-13.9895224062,5.4,1
usp000j9j2,2011-10-19 10:40:39.820000,-32.1907219248,-13.4339656323,5.4,1
usp000jy2r,2013-01-08 19:04:00.090000,-32.4145158784,-14.1569010612,5.451,1
usp000drj1,2005-05-25 11:02:22.570000,-34.6914688901,-14.9092475755,5.2,1
usp000ehy2,2006-05-25 17:43:14.390000,-34.6982905619,-14.8417936858,5.0,1
usp000ggg5,2008-09-05 20:41:35.630000,-34.6825233733,-14.8395169529,5.1,1
usp000hcuj,2010-05-16 19:06:37.060000,-34.7111564906,-14.9232969505,5.3,1
usp000j26f,2011-05-25 12:28:45.670000,-34.7419229897,-15.0915356286,5.2,1
usp0008dp6,1998-01-03 06:10:08.380000,-35.4434459833,-15.6249275852,6.3,1
usp0008kxg,1998-04-25 06:07:23.440000,-35.6078905235,-16.7228257534,6.3,1
usp000azeg,2002-03-02 03:14:54.670000,-35.6084057906,-16.9803961243,5.9,1
usp000b9ag,2002-08-04 15:16:26.990000,-35.4657557425,-15.792528168,6.0,1
us20002qn7,2015-06-17 12:51:32.790000,-35.5211819814,-16.2486659754,7.0,1
us7000bfgl,2020-08-31 21:18:02.693000,-35.4279868279,-15.5660634493,5.9,1
usp000b5z0,2002-06-11 17:58:01.620000,-40.4922850574,-16.8266090838,5.4,1
usp000cy4w,2004-06-17 22:04:08.920000,-41.0014908689,-16.7875715923,5.4,1
usp000h766,2010-02-11 11:51:53.980000,-40.472643956,-16.8392868203,5.5,1
usp000hf3g,2010-07-10 06:18:23.650000,-40.0423680533,-16.5133735099,5.2,1
usc000tt3i,2015-02-25 13:48:31.150000,-40.1370557148,-16.5025813889,5.37,1
us70005lbu,2019-09-25 20:15:54.022000,-40.5002944389,-16.8339256525,5.532,1
us70005lby,2019-09-25 20:18:31,-40.4946011954,-16.8307988756,5.694,1
usp00093je,1999-02-27 12:55:13.190000,-49.4192679068,-8.33781509527,5.6,1
usp000dgx4,2005-02-25 05:11:59.930000,-49.1612521922,-8.82505059934,5.0,1
usp000ef03,2006-04-20 14:31:28.720000,-49.3988318645,-8.25273253274,5.0,1
usp000ef05,2006-04-20 14:59:07.410000,-49.4014988776,-8.25240133894,5.1,1
usp000ef07,2006-04-20 15:12:18.370000,-49.4102337162,-8.243782623,5.3,1
usp000ef0d,2006-04-20 15:58:16.200000,-49.4173177653,-8.2376996864,5.2,1
usp000ef0h,2006-04-20 16:50:15.290000,-49.4509920845,-8.23168753283,5.2,1
usp000gyx7,2009-07-03 20:28:15.040000,-49.6280941263,-8.28794782936,5.3,1
usb000iv42,2013-08-04 01:28:26.520000,-49.2030776633,-8.59862701531,5.694,1
usc000rqef,2014-07-04 05:34:19.210000,-49.1570704621,-8.53068080958,5.451,1
usc000tksd,2015-02-01 20:02:20.730000,-49.4243733263,-8.34794953152,5.6,1
us20005z5m,2016-05-30 07:35:57.760000,-49.341566058,-8.36821538406,5.613,1
us60008a9i,2020-03-05 14:58:45.960000,-48.8578574246,-8.79838496348,5.1,1
usp0009ukb,2000-06-14 21:16:38.040000,-5.04736843205,-12.2910705562,5.3,1
usp000a648,2000-12-15 14:08:17.480000,-5.51509154667,-11.4010599107,5.3,1
usp000b6x4,2002-06-25 19:55:58.890000,-4.99423950281,-12.2642596127,5.3,1
usp000b6x5,2002-06-25 20:15:57.620000,-5.00599267111,-12.2637413455,5.3,1
usp000b6xc,2002-06-25 21:47:23.720000,-5.03707023448,-12.2639015722,5.6,1
usp000b6xj,2002-06-25 22:59:11.890000,-5.03193995376,-12.2526022136,5.2,1
usp000b6xv,2002-06-26 01:00:11.460000,-4.76299759837,-12.3008410329,5.2,1
usp000b6ya,2002-06-26 06:38:13.470000,-4.75628117177,-12.3041835232,5.0,1
usp000bnd0,2003-01-11 07:30:06.450000,-5.07092117109,-11.4522215786,5.1,1
usp000f4s8,2007-02-13 00:58:19.440000,-4.6619803211,-12.3558756857,5.37,1
usp000fjd7,2007-08-11 06:32:54.500000,-5.5052755213,-11.437817783,5.1,1
usp000fjfn,2007-08-12 08:01:27.450000,-5.50532180279,-11.3781467793,5.1,1
usp000h2m0,2009-10-08 19:09:38.610000,-5.2133805029,-11.4122196013,5.451,1
usp000hreu,2010-12-22 04:03:43.430000,-5.27149977148,-11.2629105849,5.1,1
usb000tpig,2015-02-15 12:10:41.640000,-4.73509462744,-12.3277243831,5.451,1
us10008he4,2017-04-13 21:11:36.380000,-5.32778670143,-11.4122651178,5.37,1
us1000h7kj,2018-10-05 15:13:28.060000,-5.57747155941,-11.4451936062,5.451,1
